DATE,NYPCPI
1929-01-01,1156
1930-01-01,1042
1931-01-01,889
1932-01-01,686
1933-01-01,634
1934-01-01,688
1935-01-01,732
1936-01-01,819
1937-01-01,848
1938-01-01,801
1939-01-01,837
1940-01-01,883
1941-01-01,1012
1942-01-01,1191
1943-01-01,1416
1944-01-01,1569
1945-01-01,1681
1946-01-01,1725
1947-01-01,1751
1948-01-01,1783
1949-01-01,1738
1950-01-01,1868
1951-01-01,2020
1952-01-01,2075
1953-01-01,2160
1954-01-01,2190
1955-01-01,2310
1956-01-01,2432
1957-01-01,2542
1958-01-01,2608
1959-01-01,2750
1960-01-01,2847
1961-01-01,2936
1962-01-01,3055
1963-01-01,3160
1964-01-01,3351
1965-01-01,3531
1966-01-01,3768
1967-01-01,4044
1968-01-01,4435
1969-01-01,4619
1970-01-01,4920
1971-01-01,5234
1972-01-01,5603
1973-01-01,6022
1974-01-01,6533
1975-01-01,7066
1976-01-01,7510
1977-01-01,8158
1978-01-01,8949
1979-01-01,9831
1980-01-01,11001
1981-01-01,12277
1982-01-01,13327
1983-01-01,14286
1984-01-01,15749
1985-01-01,16815
1986-01-01,17915
1987-01-01,19064
1988-01-01,20827
1989-01-01,22461
1990-01-01,23990
1991-01-01,23868
1992-01-01,25061
1993-01-01,25581
1994-01-01,26259
1995-01-01,27576
1996-01-01,28936
1997-01-01,30443
1998-01-01,32040
1999-01-01,33740
2000-01-01,36090
2001-01-01,37283
2002-01-01,37088
2003-01-01,37576
2004-01-01,39329
2005-01-01,40884
2006-01-01,44128
2007-01-01,47428
2008-01-01,48184
2009-01-01,47027
2010-01-01,48768
2011-01-01,50904
2012-01-01,53102
2013-01-01,53395
2014-01-01,55290
2015-01-01,57481
2016-01-01,59280
2017-01-01,62913
2018-01-01,64849
2019-01-01,67366
2020-01-01,71577
2021-01-01,76837
