,FIPS Code,Geography,Year,Program Type,Population,County,Land Area (sq mi.),Population Density (person/sq.mi.),Pop Density Growth Percentage,state,per_capita_income,GR percapita,GR percapita percentage
0,36001,Albany County,1980,Census Base Population,285909,Albany,522.8,546.8802601,-0.290505065,New York,10720.0,1.223605061,122.3605061
5,36003,Allegany County,1980,Census Base Population,51742,Allegany,1029.31,50.26862656,11.3737139,New York,6985.0,1.177369077,117.7369077
10,36005,Bronx County,1980,Census Base Population,1168972,Bronx,42.1,27766.555819999998,-20.57000709,New York,8127.0,1.1169575409999999,111.6957541
15,36007,Broome County,1980,Census Base Population,213648,Broome,705.77,302.7161823,-3.681897075,New York,9457.0,1.2771490490000001,127.71490490000001
20,36009,Cattaraugus County,1980,Census Base Population,85697,Cattaraugus,1308.35,65.50005732,4.935958661,New York,7636.0,1.301386377,130.1386377
25,36011,Cayuga County,1980,Census Base Population,79894,Cayuga,691.58,115.5238729,3.170237227,New York,8065.0,1.260369955,126.0369955
30,36013,Chautauqua County,1980,Census Base Population,146925,Chautauqua,1060.23,138.5784217,-0.25796816300000003,New York,8533.0,1.300620113,130.0620113
35,36015,Chemung County,1980,Census Base Population,97656,Chemung,407.35,239.73487169999999,-3.822251983,New York,8892.0,1.273587318,127.3587318
40,36017,Chenango County,1980,Census Base Population,49344,Chenango,893.55,55.2224274,6.418219473,New York,8074.0,1.316121629,131.6121629
45,36019,Clinton County,1980,Census Base Population,80750,Clinton,1037.85,77.80507781,10.71653825,New York,7660.0,1.251616696,125.1616696
50,36021,Columbia County,1980,Census Base Population,59487,Columbia,634.7,93.72459429999999,15.46613872,New York,9738.0,1.5372589890000001,153.7258989
55,36023,Cortland County,1980,Census Base Population,48820,Cortland,498.76,97.88274922,6.375561074,New York,7389.0,1.155484247,115.5484247
60,36025,Delaware County,1980,Census Base Population,46824,Delaware,1442.44,32.46166218,4.709512925,New York,7092.0,1.200434378,120.0434378
65,36027,Dutchess County,1980,Census Base Population,245055,Dutchess,795.63,308.0012066,10.23864684,New York,10529.0,1.404430235,140.4430235
70,36029,Erie County,1980,Census Base Population,1015472,Erie,1042.69,973.8963642000001,-8.80285518,New York,10024.0,1.369179863,136.91798630000002
75,36031,Essex County,1980,Census Base Population,36176,Essex,1794.23,20.1624095,4.4613208,New York,7766.0,1.3113095240000001,131.13095239999998
80,36033,Franklin County,1980,Census Base Population,44929,Franklin,1629.12,27.57869279,2.271744335,New York,7104.0,1.462391681,146.2391681
85,36035,Fulton County,1980,Census Base Population,55153,Fulton,495.47,111.3145095,4.779907726,New York,8380.0,1.288992079,128.89920790000002
90,36037,Genesee County,1980,Census Base Population,59400,Genesee,492.94,120.50148090000002,1.15459279,New York,9280.0,1.289097188,128.9097188
95,36039,Greene County,1980,Census Base Population,40861,Greene,647.16,63.13894555,23.31301304,New York,8664.0,1.2860158309999998,128.6015831
100,36041,Hamilton County,1980,Census Base Population,5034,Hamilton,1717.37,2.931226235,6.788290186,New York,7851.0,1.4179242380000001,141.79242380000002
105,36043,Herkimer County,1980,Census Base Population,66714,Herkimer,1411.47,47.2656167,-1.028083133,New York,8013.0,1.028094153,102.8094153
110,36045,Jefferson County,1980,Census Base Population,88151,Jefferson,1268.59,69.48738363,-0.40335337,New York,7797.0,1.205657709,120.5657709
115,36047,Kings County,1980,Census Base Population,2231028,Kings,70.82,31502.79582,-14.25758221,New York,8622.0,1.088156939,108.8156939
120,36049,Lewis County,1980,Census Base Population,25035,Lewis,1274.68,19.64022343,5.883099331,New York,7031.0,1.293964111,129.3964111
125,36051,Livingston County,1980,Census Base Population,57006,Livingston,631.76,90.23363303,5.486575009,New York,8549.0,1.185327198,118.53271979999998
130,36053,Madison County,1980,Census Base Population,65150,Madison,654.84,99.48995174,3.6364214789999996,New York,8087.0,1.271629213,127.1629213
135,36055,Monroe County,1980,Census Base Population,702238,Monroe,657.2,1068.5301279999999,-1.359568567,New York,11433.0,1.338993453,133.8993453
140,36057,Montgomery County,1980,Census Base Population,53439,Montgomery,403.04,132.58981740000002,-4.373423009,New York,8579.0,1.227154725,122.7154725
145,36059,Nassau County,1980,Census Base Population,1321582,Nassau,284.72,4641.690081000001,-7.5065193,New York,14830.0,1.4307490580000002,143.0749058
150,36061,New York County,1980,Census Base Population,1428285,New York,22.83,62561.760839999995,-7.208005547999999,New York,18174.0,1.1358561520000001,113.5856152
160,36063,Niagara County,1980,Census Base Population,227354,Niagara,522.36,435.2438931,-3.54912609,New York,9670.0,1.404874409,140.4874409
165,36065,Oneida County,1980,Census Base Population,253466,Oneida,1212.43,209.0561929,-7.179111584,New York,8941.0,1.314522392,131.4522392
170,36067,Onondaga County,1980,Census Base Population,463920,Onondaga,778.39,595.9994347,-1.885435721,New York,10060.0,1.3844512919999998,138.4451292
175,36069,Ontario County,1980,Census Base Population,88909,Ontario,644.06,138.0445921,12.75856378,New York,9401.0,1.276822475,127.6822475
180,36071,Orange County,1980,Census Base Population,259603,Orange,811.69,319.83023080000004,17.11924281,New York,10078.0,1.3657277,136.57277
185,36073,Orleans County,1980,Census Base Population,38496,Orleans,391.26,98.38981751,3.192601523,New York,8886.0,1.284906146,128.4906146
190,36075,Oswego County,1980,Census Base Population,113901,Oswego,951.65,119.6879105,12.88839118,New York,7948.0,1.3570581259999999,135.7058126
195,36077,Otsego County,1980,Census Base Population,59075,Otsego,1001.7,58.97474294,5.151207704,New York,7802.0,1.1996053,119.96053
200,36079,Putnam County,1980,Census Base Population,77193,Putnam,230.31,335.1699883,36.15246229,New York,11896.0,1.561584841,156.1584841
205,36081,Queens County,1980,Census Base Population,1891325,Queens,108.53,17426.748359999998,-4.8233824,New York,10750.0,0.957392571,95.7392571
210,36083,Rensselaer County,1980,Census Base Population,151966,Rensselaer,652.43,232.9230722,-0.35669791100000003,New York,8979.0,1.311791967,131.1791967
215,36085,Richmond County,1980,Census Base Population,352029,Richmond,58.37,6030.991948,19.15293305,New York,11205.0,1.4348109519999999,143.48109519999997
220,36087,Rockland County,1980,Census Base Population,259530,Rockland,173.55,1495.419188,12.88673923,New York,12701.0,1.5915119359999998,159.1511936
225,36091,Saratoga County,1980,Census Base Population,153759,Saratoga,809.98,189.8306131,26.27623926,New York,9476.0,1.444157854,144.4157854
230,36093,Schenectady County,1980,Census Base Population,149946,Schenectady,204.52,733.1605711,-6.9109375570000005,New York,10646.0,1.274300363,127.43003629999998
235,36095,Schoharie County,1980,Census Base Population,29710,Schoharie,621.82,47.77910006,20.04040403,New York,7286.0,1.079931487,107.99314869999999
240,36097,Schuyler County,1980,Census Base Population,17686,Schuyler,328.33,53.86653672,5.670072307000001,New York,7699.0,1.236780941,123.67809409999998
245,36099,Seneca County,1980,Census Base Population,33733,Seneca,323.71,104.2074696,-3.8480176210000003,New York,9039.0,1.392535733,139.2535733
250,36089,St. Lawrence County,1980,Census Base Population,114347,St. Lawrence,2680.38,42.66074213,1.814636401,New York,6869.0,1.233821138,123.3821138
255,36101,Steuben County,1980,Census Base Population,99217,Steuben,1390.56,71.35039121,-0.330500474,New York,8266.0,1.23950149,123.950149
260,36103,Suffolk County,1980,Census Base Population,1284231,Suffolk,912.05,1408.070829,13.94825338,New York,10843.0,1.4721842230000002,147.21842230000001
265,36105,Sullivan County,1980,Census Base Population,65155,Sullivan,968.13,67.2998461,23.91593763,New York,8853.0,1.151397327,115.13973270000001
270,36107,Tioga County,1980,Census Base Population,49812,Tioga,518.6,96.05090629,7.092640766000001,New York,8674.0,1.33674569,133.674569
275,36109,Tompkins County,1980,Census Base Population,87085,Tompkins,474.65,183.472032,13.00347762,New York,7468.0,1.119784275,111.9784275
280,36111,Ulster County,1980,Census Base Population,158158,Ulster,1124.23,140.6811773,11.97740033,New York,8986.0,1.2242574259999999,122.42574259999999
285,36113,Warren County,1980,Census Base Population,54854,Warren,866.95,63.27239172,11.03599045,New York,8534.0,1.2114537440000002,121.1453744
290,36115,Washington County,1980,Census Base Population,54795,Washington,831.18,65.92434852,3.9260313030000002,New York,7318.0,1.161890694,116.18906940000001
295,36117,Wayne County,1980,Census Base Population,84581,Wayne,603.83,140.07419309999997,6.519822715,New York,9056.0,1.3497664759999999,134.9766476
300,36119,Westchester County,1980,Census Base Population,866599,Westchester,430.5,2013.005807,-3.108990795,New York,15547.0,1.326698593,132.66985929999998
305,36121,Wyoming County,1980,Census Base Population,39895,Wyoming,592.75,67.30493463,5.855975389,New York,7738.0,1.18958687,118.95868700000001
310,36123,Yates County,1980,Census Base Population,21459,Yates,338.14,63.46187969,8.209369161,New York,8006.0,1.289390906,128.9390906
